,listing_id,monthname,price
539,1212352,September,89.03333333333333
540,1219374,April,111.6
541,1219374,August,95.12903225806451
542,1219374,December,95.0
543,1219374,February,95.0
544,1219374,January,95.0
545,1219374,July,95.06451612903226
546,1219374,June,96.5
547,1219374,March,99.09677419354838
548,1219374,May,111.45161290322581
549,1219374,November,95.0
550,1219374,October,95.0
551,1219374,September,95.5
552,1223655,April,577.8
553,1223655,August,514.483870967742
554,1223655,December,514.0
555,1223655,February,514.0
556,1223655,January,514.0
557,1223655,July,655.258064516129
558,1223655,June,656.1333333333333
559,1223655,March,540.4193548387096
560,1223655,May,577.741935483871
561,1223655,November,514.0
562,1223655,October,514.0
563,1223655,September,514.0
564,1223683,April,273.0
565,1223683,August,273.0
566,1223683,December,273.0
567,1223683,February,273.0
568,1223683,January,273.0
569,1223683,July,294.0
570,1223683,June,280.46666666666664
571,1223683,March,273.0
572,1223683,May,273.0
573,1223683,November,273.0
574,1223683,October,273.0
575,1223683,September,285.26666666666665
576,1235531,April,89.0
577,1235531,August,89.0
578,1235531,December,89.0
579,1235531,February,89.0
580,1235531,January,89.0
581,1235531,July,89.0
582,1235531,June,89.0
583,1235531,March,89.0
584,1235531,May,89.0
585,1235531,November,89.0
586,1235531,October,89.0
587,1235531,September,89.0
588,1243512,April,1285.0
589,1243512,August,1285.0
590,1243512,December,1285.0
591,1243512,February,1285.0
592,1243512,January,1285.0
593,1243512,July,1285.0
594,1243512,June,1285.0
595,1243512,March,1285.0
596,1243512,May,1285.0
597,1243512,November,1285.0
598,1243512,October,1285.0
599,1243512,September,1285.0
600,1297717,April,57.0
601,1297717,August,57.0
602,1297717,December,57.0
603,1297717,February,57.0
604,1297717,January,57.0
605,1297717,July,57.0
606,1297717,June,57.0
607,1297717,March,57.0
608,1297717,May,57.0
609,1297717,November,57.0
610,1297717,October,57.0
611,1297717,September,57.0
612,1312301,April,83.8
613,1312301,August,83.64516129032258
614,1312301,December,83.12903225806451
615,1312301,February,83.57142857142857
616,1312301,January,84.16129032258064
617,1312301,July,83.64516129032258
618,1312301,June,83.26666666666667
619,1312301,March,83.12903225806451
620,1312301,May,83.64516129032258
621,1312301,November,83.26666666666667
622,1312301,October,84.16129032258064
