,host_since
1024,2016-04-06
1025,2015-06-26
1026,2017-05-01
1027,2013-12-15
1028,2015-07-02
1029,2017-12-06
1030,2017-12-06
1031,2017-12-06
1032,2017-11-11
1033,2017-11-11
1034,2016-01-09
1035,2015-10-30
1036,2018-01-11
1037,2015-03-09
1038,2016-03-07
1039,2018-01-18
1040,2016-05-08
1041,2016-05-08
1042,2018-01-12
1043,2014-01-12
1044,2017-12-27
1045,2014-11-09
1046,2015-09-09
1047,2015-11-30
1048,2014-06-01
1049,2018-01-28
1050,2018-01-28
1051,2015-07-17
1052,2017-09-17
1053,2017-11-14
1054,2014-09-14
1055,2010-03-19
1056,2018-01-10
1057,2016-08-13
1058,2013-06-13
1059,2016-01-30
1060,2015-06-30
1061,2016-01-28
1062,2014-04-08
1063,2017-07-29
1064,2014-05-31
1065,2014-06-03
1066,2015-05-13
1067,2015-08-13
1068,2017-09-25
1069,2018-02-17
1070,2012-12-27
1071,2014-04-23
1072,2016-01-12
1073,2018-02-21
1074,2018-02-21
1075,2018-02-21
1076,2018-02-22
1077,2016-09-13
1078,2017-09-07
1079,2013-06-23
1080,2014-01-23
1081,2016-01-03
1082,2013-12-11
1083,2015-07-31
1084,2017-10-03
1085,2016-06-29
1086,2018-01-22
1087,2018-02-26
1088,2018-02-26
1089,2013-12-05
1090,2018-02-27
1091,2017-02-24
1092,2018-01-01
1093,2018-02-28
1094,2018-02-28
1095,2017-12-31
1096,2018-03-01
1097,2013-07-21
1098,2018-03-01
1099,2017-08-20
1100,2013-01-15
1101,2015-12-14
1102,2013-01-15
1103,2013-01-15
1104,2015-05-05
1105,2018-02-27
1106,2015-12-29
1107,2015-08-23
1108,2016-05-18
1109,2018-03-05
1110,2018-03-06
1111,2018-03-06
1112,2015-12-20
1113,2017-01-03
1114,2018-03-08
1115,2013-11-21
1116,2017-03-07
1117,2013-01-08
1118,2015-02-09
1119,2016-06-13
1120,2016-02-25
1121,2015-07-19
1122,2018-02-28
1123,2018-03-12
1124,2018-02-28
1125,2018-02-28
1126,2018-02-28
1127,2018-02-28
1128,2018-02-28
1129,2015-04-26
1130,2018-02-28
1131,2016-07-04
1132,2013-08-19
1133,2015-05-26
1134,2015-02-24
1135,2017-12-07
1136,2018-03-19
1137,2018-03-19
1138,2017-09-07
1139,2018-03-21
1140,2018-03-21
1141,2017-12-10
1142,2018-03-22
1143,2013-05-06
1144,2017-10-17
1145,2018-03-28
1146,2013-04-17
1147,2018-03-30
1148,2018-03-31
1149,2018-03-25
1150,2015-10-20
1151,2013-11-04
1152,2016-01-09
1153,2014-06-11
1154,2016-05-09
1155,2014-04-28
1156,2015-06-04
1157,2017-11-04
1158,2016-01-05
1159,2015-02-13
1160,2018-01-12
1161,2018-03-19
1162,2016-02-17
1163,2017-04-08
1164,2018-04-11
1165,2016-06-01
1166,2018-04-12
1167,2018-04-13
1168,2014-10-27
1169,2015-02-23
1170,2015-08-02
1171,2016-04-10
1172,2013-03-03
1173,2015-11-24
1174,2013-09-23
1175,2016-06-08
1176,2018-03-15
1177,2013-07-21
1178,2018-04-20
1179,2014-03-08
1180,2012-07-23
1181,2016-04-10
1182,2017-09-19
1183,2018-04-30
1184,2016-04-01
1185,2018-05-02
1186,2015-01-19
1187,2018-05-03
1188,2018-05-03
1189,2011-05-03
1190,2018-03-19
1191,2018-05-05
1192,2016-05-16
1193,2014-01-02
1194,2014-12-18
1195,2016-05-22
1196,2012-10-02
1197,2018-04-16
1198,2011-06-24
1199,2012-11-22
1200,2016-02-10
1201,2013-06-27
1202,2015-08-24
1203,2015-01-31
1204,2014-06-11
1205,2017-06-15
1206,2014-06-01
1207,2010-08-01
1208,2014-06-11
1209,2014-06-11
1210,2014-08-25
1211,2014-08-25
1212,2018-03-30
1213,2017-09-19
1214,2017-01-03
1215,2018-05-19
1216,2013-05-05
1217,2013-03-27
1218,2012-09-26
1219,2014-09-23
1220,2017-09-07
1221,2016-02-05
1222,2018-04-13
1223,2014-05-30
1224,2014-03-15
1225,2018-05-27
1226,2016-05-08
1227,2018-05-27
1228,2018-05-28
1229,2017-07-13
1230,2014-08-25
1231,2018-03-03
1232,2014-02-19
1233,2018-03-30
1234,2018-03-30
1235,2018-06-01
1236,2016-07-28
1237,2018-06-03
1238,2018-05-05
1239,2016-05-23
1240,2017-05-09
1241,2016-05-13
1242,2018-04-30
1243,2016-10-16
1244,2015-12-20
1245,2018-06-09
1246,2015-06-02
1247,2013-11-26
1248,2017-04-26
1249,2015-03-15
1250,2018-03-14
1251,2015-07-11
1252,2017-04-20
1253,2018-06-16
1254,2016-07-24
1255,2013-06-27
1256,2016-09-13
1257,2018-06-19
1258,2013-07-21
1259,2018-06-20
1260,2012-07-15
1261,2016-05-19
1262,2015-04-02
1263,2018-06-22
1264,2017-09-04
1265,2015-05-11
1266,2015-05-11
1267,2017-09-19
1268,2016-08-15
1269,2014-01-17
1270,2015-05-11
1271,2017-09-07
1272,2013-12-11
1273,2017-03-07
1274,2018-06-10
1275,2018-06-26
1276,2014-02-27
1277,2015-07-19
1278,2013-01-08
1279,2015-03-19
1280,2018-07-02
1281,2014-09-22
1282,2017-09-19
1283,2018-07-05
1284,2012-09-09
1285,2014-08-27
1286,2015-01-12
1287,2018-07-08
1288,2017-11-14
1289,2013-11-17
1290,2017-10-20
1291,2013-12-01
1292,2013-06-17
1293,2014-02-20
1294,2016-04-01
1295,2017-12-08
1296,2016-01-25
1297,2016-08-01
1298,2018-07-15
1299,2018-05-15
1300,2017-05-01
1301,2015-04-10
1302,2015-06-26
1303,2016-05-19
1304,2018-07-19
1305,2014-02-20
1306,2014-10-09
1307,2011-10-24
1308,2016-12-27
1309,2016-03-27
1310,2018-07-20
1311,2016-07-14
1312,2013-12-05
1313,2018-05-16
1314,2016-07-14
1315,2017-09-20
1316,2010-07-15
1317,2018-04-27
1318,2016-12-27
1319,2013-10-09
1320,2018-07-29
1321,2015-06-27
1322,2014-09-08
1323,2018-08-02
1324,2016-01-28
1325,2018-08-03
1326,2016-04-26
1327,2011-01-18
1328,2013-06-10
1329,2016-12-29
1330,2018-07-21
1331,2014-09-23
1332,2013-06-10
1333,2018-08-10
1334,2012-09-12
1335,2013-11-16
1336,2016-09-06
1337,2016-07-25
1338,2018-06-18
1339,2018-01-11
1340,2016-07-26
1341,2014-01-11
1342,2017-09-20
1343,2018-07-21
1344,2016-02-25
1345,2012-12-26
1346,2016-03-18
1347,2018-04-08
1348,2015-05-05
1349,2016-03-10
1350,2015-11-02
1351,2018-04-22
1352,2014-03-20
1353,2018-03-02
1354,2018-03-02
1355,2014-09-12
1356,2017-07-25
1357,2018-08-24
1358,2017-09-07
1359,2014-10-30
1360,2015-07-09
1361,2018-02-26
1362,2018-03-02
1363,2012-04-27
1364,2018-03-02
1365,2018-03-02
1366,2017-12-08
1367,2015-08-14
1368,2018-01-09
1369,2018-08-29
1370,2018-08-30
1371,2018-08-30
1372,2017-09-20
1373,2012-06-09
1374,2010-09-24
1375,2014-07-07
1376,2017-09-20
1377,2018-04-28
1378,2018-09-02
1379,2017-04-14
1380,2012-05-06
1381,2018-07-08
1382,2012-07-22
1383,2018-09-05
1384,2018-09-05
1385,2017-09-30
1386,2015-08-18
1387,2017-09-19
1388,2016-09-07
1389,2017-10-29
1390,2016-05-15
1391,2017-10-04
1392,2018-04-22
1393,2018-05-31
